_id,artist,song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6757c5642c5d5bfa076278d1,Madonna,Don't Tell Me,0.699,0.618,-7.338,0.0594,0.0502,0.000925,0.0914,0.679,99.965
6757c5642c5d5bfa076278d2,Blue,If You Come Back,0.582,0.707,-4.487,0.0319,0.0822,0,0.0467,0.701,78.375
6757c5642c5d5bfa076278d3,Atomic Kitten,Eternal Flame - Single Version,0.578,0.581,-6.867,0.0318,0.0658,0.0042,0.0674,0.408,83.293
6757c5642c5d5bfa076278d4,Jagged Edge,Where the Party At (feat. Nelly),0.596,0.661,-6.239,0.226,0.31,0,0.0847,0.86,129.491
6757c5642c5d5bfa076278d5,Afroman,Because I Got High,0.802,0.341,-8.56,0.488,0.169,0,0.0783,0.849,166.01
6757c5642c5d5bfa076278d6,S Club 7,Don't Stop Movin',0.822,0.672,-6.133,0.0329,0.0285,0,0.213,0.91,117.033
6757c5642c5d5bfa076278d7,Craig David,Fill Me In,0.682,0.744,-6.981,0.0365,0.376,0.00951,0.06,0.827,132.493
6757c5642c5d5bfa076278d8,Nelly Furtado,Turn Off The Light,0.587,0.679,-6.26,0.0927,0.0839,0.000316,0.413,0.65,180.184
6757c5642c5d5bfa076278d9,The Supermen Lovers,Starlight - Radio Edit,0.739,0.679,-5.079,0.0373,0.000424,0.0187,0.389,0.786,127.487
6757c5642c5d5bfa076278da,Mis-Teeq,All I Want - Sunship Radio Edit,0.795,0.919,-3.07,0.0835,0.37,0.00863,0.189,0.96,134.079
6757c5642c5d5bfa076278db,Jagged Edge,Promise,0.751,0.568,-5.431,0.0872,0.136,0,0.0288,0.646,128.002
6757c5642c5d5bfa076278dc,S Club 7,Have You Ever,0.585,0.702,-5.734,0.0325,0.538,0,0.216,0.51,139.909
6757c5642c5d5bfa076278dd,Enya,Only Time,0.418,0.249,-13.744,0.0301,0.841,0.661,0.112,0.213,82.803
6757c5642c5d5bfa076278de,Faith Hill,There You'll Be,0.321,0.511,-7.77,0.0306,0.513,0,0.127,0.17,128.98
6757c5642c5d5bfa076278df,Ronan Keating,Lovin' Each Day,0.541,0.899,-6.261,0.0633,0.0178,0.00000295,0.286,0.829,106.676
6757c5642c5d5bfa076278e0,Destiny's Child,Bootylicious,0.84,0.835,-4.386,0.275,0.00281,0.00000111,0.152,0.637,103.376
6757c5642c5d5bfa076278e1,Steps,It's the Way You Make Me Feel,0.573,0.665,-5.081,0.0239,0.108,0.00000209,0.095,0.347,105.006
6757c5642c5d5bfa076278e2,Sunshine Anderson,Heard It All Before,0.697,0.925,-4.209,0.216,0.0614,0,0.095,0.678,96.951
6757c5642c5d5bfa076278e3,Lenny Kravitz,Again,0.55,0.804,-5.218,0.0271,0.0148,0.0000433,0.105,0.789,79.166
